Club,Valeurs
Napoli,538.80
Juventus,465.80
Milan,574.40
Lazio,254.65
Inter,556.45
Roma,368.75
Atalanta,309.20
Udinese,137.25
Torino,149.18
Empoli,92.00
Fiorentina,232.45
Bologna,126.60
Monza,114.90
Lecce,71.08
Spezia Calcio,75.20
Salernitana,100.90
Sassuolo,203.60
Verona,92.95
Sampdoria,65.13
Cremonese,67.85
