Club,Valeurs
Barça,777.00
Real Madrid,849.00
Real Sociedad,380.50
Atleti,480.00
Villarreal,328.70
Real Betis,260.00
Osasuna,124.20
Athletic,224.30
Rayo Vallecano,91.50
Mallorca,78.30
Girona,118.60
Valencia,249.50
Espanyol,102.90
Almería,99.40 
Sevilla FC,230.00
Getafe,142.20
Celta,124.20
Valladolid,69.80
Cádiz CF,55.20
Elche,69.40
