Club,Valeurs
Arsenal,797.00
Man City,1000.12
Newcastle,442.90
Man United,742.1
Tottenham,688.30
Brighton Hove,304.60 
Fulham,240.00
Brentford,317.10
Liverpool,931.00
Chelsea,1000.02
Aston Villa,440.60
Crystal Palace,288.70
Nottingham,315.90 
Leicester City,432.10 
Leeds United,299.00
West Ham,474.00
Wolverhampton,389.70
Bournemouth,185.20
Everton,408.30
Southampton,351.50
