Club,Valeurs
Bayern,944.7
RB Leipzig,493.30
Frankfurt,270.95
Union Berlin,115.90
Freiburg,161.63 
Wolfsburg,193.20
Dortmund,526.70
M'gladbach,233.25
Leverkusen,416.85
1. FC Köln,100.03
Bremen,73.55
Mainz,122.30 
Hoffenheim,161.95
Stuttgart,124.85
Bochum,48.13
Augsburg,111.95
Hertha BSC,97.95
