Club,Valeurs
PSG,894.55
RC Lens,158.95
Marseille,230.00
Monaco,302.90 
Stade Rennais,314.95
Lille,188.70
Lorient,74.10
Clermont Foot,32.80
Olympique Lyon,254.50
Nice,198.60
Stade de Reims,88.05
Toulouse,65.25
Nantes,106.85
Troyes,68.60
Montpellier,104.90
Strasbourg,92.60
Brest,65.80 
AC Ajaccio,24.65
Auxerre,42.50
Angers SCO,75.50 
